# index, _pos
339,"[-0.74747013, 9.95958726]"
340,"[-0.65027069, 9.98631888]"
341,"[-0.68988545, 9.96840473]"
342,"[-0.69024783, 9.95575349]"
343,"[-0.75096228, 9.97865385]"
344,"[-0.76225275, 10.00184422]"
345,"[-0.72466715, 9.88150003]"
346,"[-0.79957459, 9.94838279]"
347,"[-0.70426746, 9.86072283]"
348,"[-0.76848215, 9.91571439]"
349,"[-0.73519652, 9.87070509]"
350,"[-0.72370313, 9.86364689]"
351,"[-0.81354306, 9.94096873]"
352,"[-0.77230523, 9.88898692]"
353,"[-0.75216653, 9.89483899]"
354,"[-0.68810055, 10.08029039]"
355,"[-0.70913324, 9.93533475]"
356,"[-0.66242917, 9.93022511]"
357,"[-0.62560151, 10.06390345]"
358,"[-0.69716615, 10.0613566]"
359,"[-0.71742589, 10.05255202]"
360,"[-0.71854729, 10.03642939]"
361,"[-0.72867139, 10.03230684]"
362,"[-0.73135976, 10.06957003]"
363,"[-0.73921324, 10.04537843]"
364,"[-0.73967677, 9.92115574]"
365,"[-0.64739325, 9.85659593]"
366,"[-0.63373077, 9.89654864]"
367,"[-0.77766274, 9.90334344]"
368,"[-0.78924318, 9.96473404]"
369,"[-0.65077342, 9.84101978]"
370,"[-0.73188129, 9.89638764]"
371,"[-0.70603126, 9.84396909]"
372,"[-0.62425984, 9.86728461]"
373,"[-0.73774218, 9.98446912]"
374,"[-0.70230472, 9.91380127]"
375,"[-0.66550362, 9.89522801]"
376,"[-0.75800936, 9.96838978]"
377,"[-0.74515106, 9.93232406]"
378,"[-0.71401064, 9.87219829]"
379,"[-0.75604167, 9.98761996]"
380,"[-0.69243819, 9.91648238]"
381,"[-0.58866759, 9.83079091]"
382,"[-0.76349053, 10.03039146]"
383,"[-0.63035791, 9.93653546]"
384,"[-0.67413754, 9.94091769]"
385,"[-0.7846547, 10.04369927]"
386,"[-0.66587184, 10.03560164]"
387,"[-0.73833249, 9.82802102]"
388,"[-0.74657192, 10.01633982]"
389,"[-0.75839308, 9.93810112]"
390,"[-0.81733036, 9.95934692]"
391,"[-0.75054801, 9.9133024]"
392,"[-0.793285, 9.89931517]"
393,"[-0.7476305, 9.87532211]"
394,"[-0.72029439, 10.00121612]"
395,"[-0.81053248, 9.91324455]"
396,"[-0.78264168, 9.92045388]"
397,"[-0.71915885, 9.89297753]"
398,"[-0.75056587, 9.99731594]"
399,"[-0.7396624, 9.88537051]"
400,"[-0.80237235, 9.92941075]"
401,"[-0.80576274, 9.96875124]"
402,"[-0.78687282, 9.88326932]"
403,"[-0.6594748, 9.86426773]"
404,"[-0.78563009, 9.93683074]"
405,"[-0.76248943, 9.9055075]"
406,"[-0.69238813, 10.05062633]"
407,"[-0.61878646, 9.85558203]"
408,"[-0.67482851, 9.88558369]"
409,"[-0.63629775, 9.87142814]"
410,"[-0.73525824, 10.02097998]"
411,"[-0.6325767, 10.05794424]"
412,"[-0.7425843, 10.06037254]"
413,"[-0.77945421, 10.01321545]"
414,"[-0.69140375, 9.86293277]"
415,"[-0.63633591, 9.80278153]"
416,"[-0.73463817, 9.95756528]"
417,"[-0.7073943, 9.92547466]"
418,"[-0.69583267, 10.00093693]"
419,"[-0.66327993, 9.98243037]"
420,"[-0.63208832, 9.95624669]"
421,"[-0.65630128, 10.00116642]"
422,"[-0.61099845, 9.96594119]"
423,"[-0.69616999, 9.92842186]"
424,"[-0.677688, 10.00783953]"
425,"[-0.69053199, 10.00755224]"
426,"[-0.80685291, 10.00312309]"
427,"[-0.61195086, 10.11299892]"
428,"[-0.6119498, 9.93117397]"
429,"[-0.64314381, 10.09526535]"
430,"[-0.652117, 10.08508275]"
431,"[-0.79663958, 9.91700579]"
432,"[-0.70896823, 9.88732315]"
433,"[-0.77926636, 9.95392328]"
434,"[-0.78220143, 9.98796275]"
435,"[-0.75673556, 10.08328142]"
436,"[-0.75853572, 9.92569848]"
437,"[-0.77142357, 9.93111572]"
438,"[-0.59749039, 10.07715362]"
439,"[-0.6939749, 9.89037918]"
440,"[-0.62507423, 10.08536732]"
441,"[-0.73127961, 9.91069622]"
442,"[-0.69831068, 10.01961467]"
443,"[-0.72010566, 9.93406053]"
444,"[-0.79276404, 9.98059525]"
445,"[-0.70868487, 9.95792261]"
446,"[-0.72356247, 10.01407486]"
447,"[-0.73294898, 9.93007718]"
448,"[-0.77238327, 10.05510274]"
449,"[-0.7121719, 9.90037524]"
450,"[-0.58960607, 10.00759946]"
451,"[-0.60681957, 10.04678393]"
452,"[-0.7132188, 10.00765808]"
453,"[-0.6324403, 10.02407135]"
454,"[-0.61728551, 10.0128756]"
455,"[-0.73187768, 10.05668776]"
456,"[-0.72197989, 10.06318997]"
457,"[-0.71027087, 10.06368901]"
458,"[-0.6721029, 9.90446522]"
459,"[-0.61564062, 10.04272733]"
460,"[-0.65961298, 10.1617342]"
461,"[-0.68789674, 10.13608643]"
462,"[-0.65096181, 10.17571061]"
463,"[-0.65506314, 10.0115488]"
464,"[-0.59336478, 9.96131014]"
465,"[-0.50405495, 10.0889696]"
466,"[-0.51303244, 9.89041168]"
467,"[-0.4621236, 9.84086145]"
468,"[-0.48184238, 9.92882371]"
469,"[-0.80979315, 9.88470263]"
470,"[-0.71700841, 9.8271683]"
471,"[-0.80631152, 10.01883243]"
472,"[-0.76874259, 9.86800703]"
473,"[-0.74864115, 9.94655093]"
474,"[-0.56275102, 9.95703156]"
475,"[-0.66344629, 9.85208953]"
476,"[-0.6070201, 9.76443409]"
477,"[-0.51726783, 9.86412016]"
478,"[-0.57150704, 9.82608299]"
479,"[-0.8016173, 9.81684596]"
480,"[-0.69104303, 9.8434337]"
481,"[-0.5893797, 9.81300733]"
482,"[-0.61004972, 9.7990167]"
483,"[-0.66083748, 9.88297979]"
484,"[-0.68921705, 9.90427416]"
485,"[-0.58258717, 9.93789956]"
486,"[-0.66828619, 9.83938304]"
487,"[-0.65753897, 10.04090054]"
488,"[-0.67282259, 10.040761]"
489,"[-0.49566835, 10.01051108]"
490,"[-0.63809226, 9.97431595]"
491,"[-0.68721013, 10.02749712]"
492,"[-0.53836141, 10.02768257]"
493,"[-0.58020595, 9.92654332]"
494,"[-0.69739917, 9.87878703]"
495,"[-0.46272803, 10.09286849]"
496,"[-0.77917429, 10.07443413]"
497,"[-0.56769173, 10.14736863]"
498,"[-0.69893294, 10.07242869]"
499,"[-0.60414641, 10.14157772]"
500,"[-0.58140855, 9.90358607]"
501,"[-0.8919568, 10.00227759]"
502,"[-0.69083077, 9.79202208]"
503,"[-0.60314841, 9.92121392]"
504,"[-0.61849577, 9.99794036]"
505,"[-0.73450348, 10.0103717]"
506,"[-0.52965763, 9.98093427]"
507,"[-0.76878158, 9.96075558]"
508,"[-0.60291204, 9.90912962]"
509,"[-0.75858751, 9.88265926]"
510,"[-0.7561417, 10.01105448]"
511,"[-0.50729092, 10.03395891]"
512,"[-0.65192648, 10.14339782]"
513,"[-0.6666224, 10.10613719]"
514,"[-0.66965829, 10.19759234]"
515,"[-0.589718, 9.98735182]"
516,"[-0.56830302, 10.00771817]"
517,"[-0.56921669, 10.0535807]"
518,"[-0.54977824, 10.04536409]"
519,"[-0.56170786, 10.0814976]"
520,"[-0.56321564, 10.0195416]"
521,"[-0.60787248, 10.03671291]"
522,"[-0.62627088, 10.00907321]"
523,"[-0.60977304, 10.02091794]"
524,"[-0.59732897, 9.97945006]"
525,"[-0.58587894, 9.96623557]"
526,"[-0.67483885, 10.02775244]"
527,"[-0.62464959, 10.05028017]"
528,"[-0.82565301, 10.03159074]"
529,"[-0.50283817, 10.11109842]"
530,"[-0.80714394, 9.98841705]"
531,"[-0.61745674, 9.87576082]"
532,"[-0.54654658, 9.81886814]"
533,"[-0.74206108, 9.90279548]"
534,"[-0.50109122, 9.93413968]"
535,"[-0.60383299, 9.82029351]"
536,"[-0.87186607, 10.04591172]"
537,"[-0.78255314, 9.86164426]"
538,"[-0.50024273, 9.85376474]"
539,"[-0.71239556, 9.97151736]"
540,"[-0.51689496, 9.98504072]"
541,"[-0.47040302, 10.00083896]"
542,"[-0.57985459, 10.04873531]"
543,"[-0.60935225, 9.89801014]"
544,"[-0.59419576, 9.89814837]"
545,"[-0.57461719, 9.88022566]"
546,"[-0.61789464, 9.88776644]"
547,"[-0.62298978, 9.90107266]"
548,"[-0.67763611, 9.85213944]"
549,"[-0.5435251, 9.96236373]"
550,"[-0.53081825, 9.90505413]"
551,"[-0.62597709, 9.82830619]"
552,"[-0.56178302, 9.7934802]"
553,"[-0.64007934, 9.82867394]"
554,"[-0.51109602, 9.76344369]"
555,"[-0.64753726, 9.78665218]"
556,"[-0.6274941, 10.09941699]"
557,"[-0.63519055, 10.08823784]"
558,"[-0.66975674, 10.11857126]"
559,"[-0.65796872, 10.11334121]"
560,"[-0.68335796, 10.11719614]"
561,"[-0.56287363, 9.91364234]"
562,"[-0.54218984, 9.91100955]"
563,"[-0.65226073, 9.87380051]"
564,"[-0.51647513, 9.91053824]"
565,"[-0.51742614, 10.10092966]"
566,"[-0.5127701, 9.83886282]"
567,"[-0.62485766, 9.91474244]"
568,"[-0.71518459, 9.79863022]"
569,"[-0.592077, 9.8839467]"
570,"[-0.54530771, 9.8701604]"
571,"[-0.56436095, 9.84166312]"
572,"[-0.7237072, 9.94760725]"
573,"[-0.57360608, 9.96267055]"
574,"[-0.44891559, 10.06358451]"
575,"[-0.53240348, 9.9199168]"
576,"[-0.47146101, 9.94257053]"
577,"[-0.67627387, 9.80908846]"
578,"[-0.54969895, 9.88368507]"
579,"[-0.85388565, 10.01608567]"
580,"[-0.54580375, 9.98202281]"
581,"[-0.82463741, 10.05458173]"
582,"[-0.82856065, 9.98280328]"
583,"[-0.66003501, 10.21759529]"
584,"[-0.64765198, 10.19222922]"
585,"[-0.62328559, 10.24285336]"
586,"[-0.65160136, 10.27746719]"
587,"[-0.67872019, 10.21897797]"
588,"[-0.66230114, 10.14722866]"
589,"[-0.62667561, 10.2135127]"
590,"[-0.63971563, 10.07781493]"
591,"[-0.54679016, 10.08779186]"
592,"[-0.53222701, 10.0940664]"
593,"[-0.70435769, 10.05348915]"
594,"[-0.64165531, 10.06594205]"
595,"[-0.58785881, 10.08743906]"
596,"[-0.70409846, 10.19741963]"
597,"[-0.72698245, 10.11574919]"
598,"[-0.61697374, 10.09796525]"
599,"[-0.6697441, 10.08236248]"
600,"[-0.62423293, 10.12766923]"
601,"[-0.53146953, 10.23600466]"
602,"[-0.55151514, 10.10110071]"
603,"[-0.58444617, 10.13062475]"
604,"[-0.52613459, 10.06568538]"
605,"[-0.64198627, 9.98826806]"
606,"[-0.64678458, 10.00136854]"
607,"[-0.64306904, 10.02292448]"
608,"[-0.61251545, 10.06923242]"
609,"[-0.64146424, 10.05153255]"
610,"[-0.56835422, 10.12917965]"
611,"[-0.62518466, 10.03815188]"
612,"[-0.56309218, 10.03571289]"
613,"[-0.5980562, 10.06759761]"
614,"[-0.63559398, 10.10708063]"
615,"[-0.65468684, 10.06456215]"
616,"[-0.51469803, 9.97313311]"
617,"[-0.62548903, 10.18359819]"
618,"[-0.57008747, 10.17801644]"
619,"[-0.61547041, 10.32996338]"
620,"[-0.59110504, 10.23236461]"
621,"[-0.61370621, 10.28089084]"
622,"[-0.60849826, 10.21636222]"
623,"[-0.68818774, 10.14775855]"
624,"[-0.6869704, 10.20075314]"
625,"[-0.67440786, 10.28941243]"
626,"[-0.64348916, 10.24361542]"
627,"[-0.60809011, 10.25445421]"
628,"[-0.66235359, 10.25434077]"
629,"[-0.66746106, 10.23331783]"
630,"[-0.55553318, 10.12047416]"
631,"[-0.59928804, 10.16339197]"
632,"[-0.57458993, 10.08110517]"
633,"[-0.64252507, 10.21992545]"
634,"[-0.60344216, 10.19546295]"
635,"[-0.63085187, 10.27129909]"
636,"[-0.61450322, 10.1719362]"
637,"[-0.54353428, 10.07519426]"
638,"[-0.53685706, 10.19246865]"
639,"[-0.7113683, 10.24569235]"
640,"[-0.67293056, 10.05905029]"
641,"[-0.45590139, 10.3015051]"
642,"[-0.63678649, 10.12616698]"
643,"[-0.71205052, 10.04442909]"
644,"[-0.73705312, 10.2358309]"
645,"[-0.6876951, 10.24115731]"
646,"[-0.72454465, 9.96808276]"
647,"[-0.6915291, 9.99145161]"
648,"[-0.6785183, 10.07040054]"
649,"[-0.64219912, 9.9337269]"
650,"[-0.581005, 10.05954391]"
651,"[-0.69356877, 9.98059976]"
652,"[-0.63187858, 9.9660608]"
653,"[-0.65221489, 9.96767683]"
654,"[-0.68923324, 10.06900771]"
655,"[-0.6132172, 9.95704214]"
656,"[-0.54588067, 9.99302239]"
657,"[-0.6977162, 9.95505718]"
658,"[-0.7044611, 9.98279872]"
659,"[-0.73192, 9.99416485]"
660,"[-0.7031462, 10.00855184]"
661,"[-0.68185872, 9.98727362]"
662,"[-0.622398, 9.96719678]"
663,"[-0.58562235, 9.94675572]"
664,"[-0.55830352, 9.98809732]"
665,"[-0.66957102, 9.87397399]"
666,"[-0.63471769, 9.92532613]"
667,"[-0.69841286, 9.96364548]"
668,"[-0.63267794, 9.98209556]"
669,"[-0.53399367, 9.99370276]"
670,"[-0.4216355, 10.03703343]"
671,"[-0.70015974, 9.97467755]"
672,"[-0.50569909, 10.00442612]"
673,"[-0.52016001, 10.04701736]"
674,"[-0.66925362, 10.00352893]"
675,"[-0.51746832, 9.95448733]"
676,"[-0.36176478, 9.90948898]"
677,"[-0.65034462, 10.05688169]"
678,"[-0.68955835, 9.93862902]"
679,"[-0.76754121, 9.98200464]"
680,"[-0.70838308, 9.94867914]"
681,"[-0.56018226, 10.00160099]"
682,"[-0.68517214, 10.05755322]"
683,"[-0.65772178, 10.04980393]"
684,"[-0.59028089, 10.09936935]"
685,"[-0.59884387, 9.92972643]"
686,"[-0.65334888, 10.03114736]"
687,"[-0.69638165, 9.94320569]"
688,"[-0.75921351, 9.9526689]"
689,"[-0.6688339, 10.01863547]"
690,"[-0.67531679, 9.99605608]"
691,"[-0.65604942, 9.97767714]"
692,"[-0.47477077, 10.03336797]"
693,"[-0.58531899, 10.19628083]"
694,"[-0.58021157, 9.99253958]"
695,"[-0.6111013, 10.12575461]"
696,"[-0.68461314, 9.99804446]"
697,"[-0.60642031, 10.08281524]"
698,"[-0.58319571, 10.1143224]"
