# source, target, migration_1990_total, migration_1990_male, migration_1990_female, migration_1995_total, migration_1995_male, migration_1995_female, migration_2000_total, migration_2000_male, migration_2000_female, migration_2005_total, migration_2005_male, migration_2005_female, migration_2010_total, migration_2010_male, migration_2010_female, migration_2015_total, migration_2015_male, migration_2015_female
2,139,9188,4858,4330,8429,4396,4033,8877,4559,4318,9103,4611,4492,10190,5136,5054,13664,6853,6811
2,210,13757,6845,6912,13669,6873,6796,9967,5066,4901,9577,4921,4656,8068,4156,3912,10443,5396,5047
2,228,41,18,23,45,20,25,50,23,27,59,28,31,68,33,35,78,39,39
2,142,716,336,380,684,323,361,637,302,335,503,237,266,484,229,255,443,211,232
2,191,348,218,130,233,158,75,186,140,46,222,166,56,355,265,90,457,342,115
2,81,7,5,2,7,5,2,8,6,2,11,8,3,11,8,3,13,9,4
2,126,380,245,135,507,272,235,554,263,291,2260,1037,1223,3991,1820,2171,4305,1958,2347
2,130,1450,808,642,1549,927,622,1601,1024,577,1614,1055,559,1627,1075,552,1634,1085,549
2,149,293,183,110,364,222,142,438,261,177,446,264,182,454,266,188,460,278,182
2,181,3464,1238,2226,3622,1280,2342,3275,1058,2217,3523,1221,2302,3940,1477,2463,4050,1519,2531
2,202,198,88,110,160,71,89,138,62,76,133,60,73,136,61,75,134,58,76
2,161,795,444,351,586,319,267,541,279,262,486,251,235,454,229,225,462,234,228
2,55,9,5,4,13,7,6,16,8,8,24,12,12,38,19,19,39,19,20
2,103,19544,9202,10342,25514,11797,13717,30056,13880,16176,36950,17046,19904,44292,20378,23914,45680,20896,24784
2,107,222,63,159,320,116,204,417,169,248,602,287,315,774,392,382,363,145,218
2,211,156,116,40,378,276,102,603,438,165,621,448,173,640,458,182,648,460,188
2,18,27,24,3,41,35,6,55,46,9,53,44,9,50,41,9,53,44,9
2,31,32,23,9,105,60,45,178,98,80,279,153,126,369,203,166,369,201,168
2,56,80,69,11,121,105,16,161,140,21,408,366,42,622,565,57,699,602,97
2,95,263,252,11,365,301,64,467,351,116,578,437,141,688,522,166,681,497,184
2,162,643,485,158,549,412,137,470,351,119,528,417,111,604,495,109,583,479,104
2,169,3,2,1,5,5,0,7,6,1,8,7,1,9,8,1,146,66,80
2,170,1303,639,664,1189,669,520,1033,676,357,907,613,294,763,537,226,778,546,232
2,187,8,6,2,32,27,5,66,55,11,75,62,13,84,70,14,102,84,18
2,59,526,395,131,717,506,211,907,617,290,924,604,320,940,591,349,955,585,370
2,73,233,216,17,305,271,34,377,327,50,542,444,98,707,562,145,1009,781,228
2,96,10,8,2,17,13,4,23,18,5,24,18,6,24,17,7,35,28,7
2,101,113,81,32,313,221,92,686,490,196,688,504,184,576,410,166,588,416,172
2,114,6,5,1,9,8,1,12,10,2,14,12,2,17,15,2,14,13,1
2,153,448,357,91,558,428,130,731,516,215,920,626,294,1117,724,393,1215,776,439
2,199,1320,878,442,1567,1038,529,1681,1110,571,1992,1304,688,2575,1686,889,3004,1930,1074
2,218,3594,2353,1241,6898,4777,2121,10318,7274,3044,16429,11105,5324,23879,15893,7986,26826,17735,9091
2,52,0,0,0,0,0,0,0,0,0,28,13,15,56,27,29,56,27,29
2,83,203,164,39,258,176,82,317,189,128,722,575,147,1126,961,165,1102,934,168
2,104,6171,3826,2345,10991,7501,3490,15810,11175,4635,19139,12733,6406,22467,14290,8177,22471,14146,8325
2,127,21,15,6,25,17,8,31,22,9,38,26,12,49,34,15,61,44,17
2,163,55,35,20,118,75,43,187,118,69,212,149,63,203,155,48,223,167,56
2,182,6,4,2,41,26,15,56,35,21,56,35,21,55,34,21,53,33,20
2,188,4,2,2,8,5,3,13,7,6,25,19,6,37,28,9,30,23,7
2,193,11518,6656,4862,12706,7895,4811,19360,12658,6702,48283,35324,12959,60245,41618,18627,55306,35035,20271
2,12,711,541,170,802,613,189,893,686,207,998,761,237,1103,836,267,1290,979,311
2,19,10413,6025,4388,9643,5455,4188,8593,4742,3851,7396,4250,3146,8939,5191,3748,12054,7450,4604
2,74,788914,446449,342465,814417,454931,359486,839920,463414,376506,1337210,676380,660830,1322603,717989,604614,1430656,774518,656138
2,80,8493,6415,2078,12366,9659,2707,16238,12903,3335,19368,14312,5056,22497,15721,6776,23272,16262,7010
2,121,98,58,40,92,49,43,88,41,47,76,38,38,66,36,30,100,55,45
2,145,1764,1255,509,2694,1898,796,3717,2604,1113,4050,2679,1371,3912,2509,1403,3975,2486,1489
2,200,5334,3285,2049,5980,3730,2250,6648,4195,2453,7337,4489,2848,8169,4603,3566,9600,5701,3899
2,53,103,55,48,78,40,38,53,25,28,53,25,28,49,24,25,44,21,23
2,86,74,36,38,99,47,52,124,58,66,137,63,74,150,69,81,156,71,85
2,129,45,22,23,68,32,36,91,41,50,95,42,53,99,42,57,102,42,60
2,50,44,19,25,21,9,12,9,4,5,6,3,3,12,5,7,12,5,7
2,133,47,24,23,87,53,34,131,84,47,108,73,35,98,71,27,96,70,26
2,148,50,27,23,40,21,19,68,33,35,99,45,54,105,48,57,113,52,61
2,8,229,136,93,224,134,90,219,133,86,162,99,63,104,64,40,104,64,40
2,24,4,3,1,7,5,2,10,7,3,7,5,2,3,2,1,3,2,1
2,42,45,22,23,45,24,21,44,26,18,36,23,13,28,21,7,44,29,15
2,46,17,9,8,19,11,8,20,12,8,20,13,7,24,16,8,26,18,8
2,63,16,12,4,18,13,5,20,15,5,24,18,6,33,25,8,48,37,11
2,75,95,50,45,94,48,46,93,46,47,88,42,46,83,39,44,83,38,45
2,160,12,8,4,11,7,4,14,9,5,17,11,6,18,12,6,19,13,6
2,225,84,40,44,82,39,43,81,38,43,84,39,45,89,42,47,95,45,50
2,37,3743,1823,1920,12014,5803,6211,20571,9923,10648,34754,18102,16652,51025,27413,23612,57024,30620,26404
2,220,4629,2955,1674,7600,4879,2721,10882,7010,3872,12320,7958,4362,13910,8850,5060,17700,8574,9126
2,11,665,397,268,950,595,355,1180,760,420,1340,820,520,1380,840,540,1561,958,603
2,146,513,291,222,594,333,261,676,376,300,719,401,318,763,427,336,802,450,352
2,76,605,386,219,664,418,246,710,441,269,743,463,280,717,455,262,681,432,249
2,28,0,0,0,0,0,0,0,0,0,91,46,45,182,92,90,219,111,108
2,68,0,0,0,0,0,0,0,0,0,0,0,0,14,11,3,13,10,3
3,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,170,959,471,488,1012,493,519,1029,498,531,541,263,278,43,22,21,43,22,21
3,83,3,1,2,8,2,6,14,3,11,7,1,6,0,0,0,0,0,0
3,74,1,0,1,1,0,1,1,0,1,12,6,6,1,0,1,1,0,1
3,37,111,54,57,111,54,57,114,55,59,55,26,29,0,0,0,0,0,0
3,11,64,33,31,94,58,36,120,80,40,210,120,90,260,160,100,380,232,148
3,134,19,11,8,17,11,6,15,9,6,19,11,8,21,12,9,23,12,11
3,177,995,533,462,1506,801,705,2007,1059,948,1889,986,903,1650,852,798,1588,812,776
4,31,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
4,56,4,2,2,6,3,3,8,4,4,4,2,2,0,0,0,0,0,0
4,59,1,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0
4,73,1,1,0,1,1,0,1,1,0,2,2,0,2,2,0,1,1,0
4,101,0,0,0,1,0,1,3,0,3,3,0,3,2,0,2,2,0,2
4,114,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4,218,6,5,1,15,10,5,26,15,11,39,21,18,57,29,28,63,33,30
4,83,6,3,3,5,4,1,4,4,0,4,3,1,4,2,2,4,2,2
4,104,2,1,1,11,4,7,19,7,12,75,23,52,130,38,92,130,36,94
4,163,122,58,64,264,126,138,417,199,218,406,195,211,329,159,170,361,166,195
4,193,2008,925,1083,2355,1107,1248,3717,1800,1917,4135,2002,2133,5578,2733,2845,5900,2861,3039
4,12,1,1,0,2,2,0,2,2,0,2,2,0,2,2,0,2,2,0
4,74,1233,563,670,1273,570,703,1313,577,736,980,443,537,908,389,519,982,419,563
4,200,20,12,8,25,16,9,32,21,11,38,25,13,46,28,18,54,35,19
4,8,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
4,24,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4,42,10,7,3,10,6,4,9,5,4,8,5,3,6,4,2,8,2,6
4,46,42,25,17,41,24,17,40,24,16,38,23,15,43,26,17,46,28,18
4,37,10,5,5,12,6,6,15,7,8,7,3,4,0,0,0,0,0,0
4,11,333,163,170,181,94,87,20,20,0,20,10,10,0,0,0,0,0,0
4,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2
4,28,0,0,0,0,0,0,0,0,0,5,5,0,10,10,0,12,12,0
5,67,247,138,109,433,238,195,620,338,282,480,267,213,341,197,144,346,202,144
5,219,717,427,290,958,571,387,1018,607,411,1153,688,465,1186,708,478,1249,751,498
5,230,123777,62049,61728,141001,70558,70443,220248,110723,109525,98521,49299,49222,37106,18738,18368,17464,8795,8669
5,36,0,0,0,0,0,0,0,0,0,2571,1244,1327,2046,1038,1008,1964,853,1111
5,48,10334,4907,5427,18270,8654,9616,31100,14697,16403,15550,7349,8201,31028,16751,14277,41238,21453,19785
5,58,468462,225505,242957,276402,137155,139247,325733,159759,165974,262085,126043,136042,260002,125641,134361,185205,94583,90622
5,77,342,202,140,408,240,168,522,307,215,572,337,235,652,385,267,717,423,294
5,179,468,203,265,556,285,271,654,267,387,514,208,306,404,163,241,358,144,214
5,64,23,12,11,21,10,11,21,10,11,25,13,12,27,14,13,32,15,17
5,27,551,289,262,889,456,433,1320,671,649,1992,1000,992,2672,1334,1338,3550,1754,1796
5,142,24028,15093,8935,22978,14488,8490,48646,28843,19803,38464,22710,15754,37063,21914,15149,33980,20159,13821
5,191,6602,4613,1989,11043,6771,4272,15551,9398,6153,19714,10429,9285,29562,15925,13637,30268,16323,13945
5,198,4,3,1,18,10,8,67,34,33,87,42,45,106,49,57,122,60,62
5,34,1588,790,798,1899,969,930,2209,1148,1061,1283,659,624,356,169,187,370,175,195
5,126,70,39,31,72,41,31,67,38,29,271,152,119,480,268,212,517,288,229
5,161,581,322,259,1363,661,702,2523,1170,1353,1269,595,674,74,34,40,76,35,41
5,31,4,4,0,4,3,1,4,2,2,5,2,3,6,2,4,7,2,5
5,56,33,29,4,50,44,6,67,59,8,129,110,19,180,152,28,171,145,26
5,95,32,28,4,43,31,12,53,34,19,67,44,23,80,53,27,81,50,31
5,162,38,38,0,32,32,0,28,28,0,42,39,3,59,52,7,58,51,7
5,170,519,255,264,470,267,203,404,269,135,457,340,117,501,403,98,511,410,101
5,187,11,9,2,11,10,1,16,15,1,18,16,2,20,18,2,25,22,3
5,59,48,30,18,77,41,36,106,52,54,129,61,68,152,71,81,159,78,81
5,73,4,2,2,49,31,18,94,60,34,228,143,85,362,227,135,553,322,231
5,96,10,6,4,15,9,6,19,12,7,30,21,9,40,29,11,38,26,12
5,101,92,47,45,255,125,130,559,282,277,561,301,260,470,236,234,480,238,242
5,114,1,0,1,1,0,1,2,1,1,2,1,1,2,1,1,1,1,0
5,153,30,15,15,41,20,21,103,50,53,241,111,130,379,179,200,486,242,244
5,199,340,155,185,403,182,221,433,194,239,552,252,300,716,336,380,758,360,398
5,218,825,507,318,3243,1650,1593,5717,2818,2899,9467,4452,5015,13988,6496,7492,15712,7182,8530
5,83,20,11,9,19,9,10,19,8,11,14,6,8,9,4,5,9,4,5
5,104,304,105,199,1024,481,543,1744,858,886,1807,872,935,1869,886,983,1869,868,1001
5,163,141573,66405,75168,154254,72483,81771,173193,81815,91378,169591,79766,89825,137826,64670,73156,151273,67568,83705
5,193,1201,634,567,1532,833,699,2524,1409,1115,3438,1926,1512,4005,2282,1723,3553,1966,1587
5,12,188,103,85,212,117,95,236,132,104,264,145,119,292,158,134,341,185,156
5,19,647,335,312,497,265,232,332,188,144,1621,830,791,2425,1202,1223,4047,1975,2072
5,74,11499,6547,4952,11871,6673,5198,12243,6799,5444,14835,7750,7085,19679,10059,9620,21287,10847,10440
5,145,1727,1118,609,2543,1626,917,3445,2184,1261,9301,5708,3593,7460,4469,2991,5321,3070,2251
5,200,3772,2052,1720,4232,2319,1913,4709,2601,2108,5161,2739,2422,5715,2703,3012,6716,3423,3293
5,53,218,132,86,165,97,68,112,62,50,112,62,50,102,57,45,92,51,41
5,50,4,1,3,2,0,2,2,1,1,1,0,1,3,2,1,3,2,1
5,133,39,21,18,43,22,21,49,24,25,47,23,24,51,24,27,75,39,36
5,8,20,7,13,20,7,13,20,8,12,15,6,9,9,3,6,9,3,6
5,24,6,4,2,5,2,3,4,1,3,5,3,2,5,4,1,6,5,1
5,28,4868,2437,2431,5612,2994,2618,6355,3550,2805,6418,3441,2977,6389,3279,3110,7694,3949,3745
5,42,7,5,2,31,18,13,55,32,23,45,28,17,34,24,10,56,37,19
5,46,49,25,24,48,24,24,47,24,23,45,24,21,50,27,23,54,30,24
5,63,14,5,9,16,6,10,18,7,11,21,8,13,29,11,18,42,16,26
5,160,10,4,6,9,3,6,11,3,8,13,3,10,14,4,10,15,5,10
5,225,167,89,78,164,88,76,161,86,75,169,91,78,178,95,83,188,99,89
5,37,1266,617,649,1834,888,946,2446,1180,1266,2486,1257,1229,2676,1413,1263,2991,1579,1412
5,220,2252,845,1407,3242,1235,2007,4365,1682,2683,7087,3541,3546,9897,4860,5037,12683,6210,6473
5,11,310,177,133,370,204,166,410,220,190,450,230,220,530,280,250,580,305,275
5,68,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,3,2,1
6,31,10,7,3,16,10,6,21,13,8,30,19,11,37,24,13,36,25,11
6,170,304,149,155,300,156,144,286,157,129,168,98,70,48,37,11,49,37,12
6,101,0,0,0,1,1,0,2,1,1,2,1,1,1,0,1,1,0,1
6,114,4,2,2,6,4,2,9,6,3,4,3,1,0,0,0,0,0,0
6,218,95,58,37,377,184,193,666,313,353,569,273,296,520,258,262,583,285,298
6,83,6,3,3,11,6,5,17,9,8,14,7,7,11,5,6,11,5,6
6,74,8,5,3,9,6,3,9,6,3,123,40,83,9,6,3,10,7,3
6,145,7,4,3,9,5,4,14,6,8,27,11,16,23,8,15,23,7,16
6,7,17,8,9,25,12,13,32,15,17,35,17,18,37,18,19,39,19,20
6,25,168,88,80,351,184,167,534,280,254,569,299,270,25,20,5,28,23,5
6,61,7,5,2,9,6,3,11,7,4,13,9,4,16,12,4,19,14,5
6,62,139,82,57,155,90,65,170,97,73,101,58,43,32,20,12,34,21,13
6,174,16,7,9,21,10,11,29,13,16,33,15,18,35,15,20,37,16,21
6,186,0,0,0,0,0,0,0,0,0,183,100,83,367,200,167,383,209,174
